title,caption,topic,country
حريق هائل يجتاح مصنعاً للأغذية في جدة ويتسبب في خسائر كبيرة,أعمدة من الدخان الأسود تتصاعد من المصنع بعد جهود رجال الإطفاء للسيطرة على الحريق الذي اندلع في الساعات الأولى من صباح اليوم (الشرطة السعودية),حوادث,السعودية
البحرين تطلق برنامجاً لتطوير مهارات المعلمين في العلوم الحديثة,مجموعة من المعلمين في ورشة عمل تفاعلية تهدف لتدريبهم على أحدث أساليب تدريس العلوم والتكنولوجيا في البحرين، حيث تنظم وزارة التربية والتعليم البرنامج في مركز التدريب التربوي (الوزارة).,تعليم,البحرين
فلسطين تطلق برنامج دعم المشاريع الصغيرة لتعزيز الاقتصاد المحلي,مجموعة من رواد الأعمال الفلسطينيين يتناقشون حول أفكارهم في ورشة عمل حول كيفية تطوير المشاريع الصغيرة في مدينة رام الله (الجزيرة),اقتصاد,فلسطين
انطلاق حملة توعوية جديدة للحفاظ على الحياة الفطرية في عُمان,مجموعة من المتطوعين خلال ورشة عمل تهدف إلى تعزيز الوعي بأهمية الحفاظ على الأنواع المهددة بالانقراض في محمية الجبل الأخضر (وكالة الأنباء العمانية),بيئة,عُمان
تزايد التحركات المجتمعية في جزر القمر لمكافحة التغير المناخي,مجموعة من المتطوعين المحليين يقومون بزراعة أشجار جديدة على الشاطئ في جزر القمر، في إطار مبادرة تهدف لحماية البيئة وتعزيز الوعي بمخاطر التغير المناخي (الأناضول),مجتمع,جزر القمر
احتفالية ثقافية بمناسبة اليوم الوطني للتراث المغربي في فاس,زوار يتجولون في أسواق فاس التاريخية خلال احتفالية تكريم الفنون والحرف التقليدية، حيث تم عرض منتجات محلية ومأكولات تقليدية يوم 30 سبتمبر/أيلول 2023 (رويترز),ثقافة,المغرب
السعودية تطلق استراتيجية جديدة لتعزيز الاستثمار في مصادر الطاقة المتجددة,موظفون في إحدى محطات الطاقة الشمسية في السعودية خلال أعمال تطوير تستهدف زيادة إنتاج الطاقة النظيفة (وكالة الأنباء السعودية),سياسة,السعودية
"الكويت تطلق مبادرة ""نحو تعليم مستدام"" لتعزيز التدريب المهني في المدارس","وزير التربية الكويتي خلال حضوره حفل إطلاق مبادرة ""نحو تعليم مستدام""، حيث يشارك في ورشة عمل تتضمن تدريب المعلمين على أساليب جديدة في التعليم المهني (وكالات).",تعليم,الكويت
جزر القمر تطلق مبادرة لتوسيع تغطية الإنترنت في المناطق النائية,وزير الاتصالات في جزر القمر يفتتح مشروعاً جديداً يهدف إلى توفير خدمات الإنترنت للقرى البعيدة، خلال مؤتمر صحفي بحضور سكان محليين (رويترز),تقنية,جزر القمر
التحركات السياسية في لبنان تتصاعد مع اقتراب الاستحقاقات الانتخابية,مجموعة من الكتل السياسية اللبنانية خلال اجتماع لبحث التحضيرات للانتخابات المزمع إجراؤها في نهاية العام (المستقبل).,سياسة,لبنان
المغرب يستعد لاستضافة قمة المناخ الأفريقية في 2024,مسؤولون من مختلف الدول الأفريقية يتناقشون حول تحديات المناخ في ورشة عمل بالرباط، قبيل انطلاق قمة المناخ القادمة (رويترز),مجتمع,المغرب
"انطلاق فعاليات ""الدوحة للخط العربي"" لتعزيز التراث الثقافي في قطر",فنانون ومصممون يشاركون في ورش عمل للخط العربي خلال المعرض المقام في مركز قطر الوطني للمؤتمرات (الجزيرة),مجتمع,قطر
مصر تطلق مشروع الطاقات المتجددة في صحراء النقب لتعزيز الاستدامة البيئية,مهندسون مصريون يراقبون تركيب الألواح الشمسية في مشروع الطاقات المتجددة بمنطقة النقب (الأناضول),طاقة,مصر
"""مشروع زراعي مبتكر في الضفة الغربية يساهم في تحقيق الاكتفاء الذاتي""",مزارعون فلسطينيون يعملون في حقولهم باستخدام تقنيات حديثة للزراعة المستدامة (الجزيرة),قضايا اجتماعية,فلسطين
العراق يُطلق منصة إلكترونية لتشجيع الابتكار في الشباب,مجموعة من الشباب العراقيين أثناء مشاركتهم في ورشة عمل حول التكنولوجيا والابتكار باستخدام المنصة الجديدة (الأنباء العراقية),تقنية,العراق
"وزارة التعليم الموريتانية تطلق مشروع ""مدرسة المستقبل"" لتعزيز التعليم الرقمي","أحد معلمي المدارس الموريتانية يستخدم جهازاً لوحيًا لتعريف الطلاب بتطبيقات تعليمية جديدة ضمن مشروع ""مدرسة المستقبل"" (الصورة: وزارة التعليم الموريتانية)",تعليم,موريتانيا
"""تعاون يمني-أمريكي في مجال الأمن السيبراني وسط التحديات المتزايدة""",خبراء تقنيون من اليمن والولايات المتحدة الأمريكية يتبادلون النقاشات حول استراتيجيات تعزيز الأمن السيبراني في ورشة عمل مشتركة بالعاصمة صنعاء (الجزيرة).,تقنية,اليمن
البحرين تتجه نحو تعزيز البيئة الاستثمارية عبر مشروع قانون جديد,وزير المالية البحريني خلال مؤتمر صحفي يعلن فيه عن تفاصيل مشروع قانون الاستثمار الجديد، الذي يهدف إلى جذب المزيد من الاستثمارات الأجنبية وتعزيز النمو الاقتصادي في المملكة (الإعلام البحريني),اقتصاد,البحرين
مؤتمر الخرطوم الدولي حول الأمن الغذائي.. دعوات لتعزيز التعاون الإقليمي لمواجهة التحديات,وزراء الزراعة من دول عربية مختلفة يتبادلون الأفكار خلال فعاليات مؤتمر الخرطوم الدولي، في خطوة تهدف إلى تعزيز الأمن الغذائي في المنطقة (الفرنسية),سياسة,السودان
المنتخب الجزائري لكرة القدم يحقق انتصاراً كبيراً على أنغولا في تصفيات كأس أفريقيا,لاعبو المنتخب الجزائري يحتفلون بالهدف الأول في المباراة التي أقيمت في ملعب 5 يوليو بالعاصمة الجزائر (المصدر: الاتحاد الجزائري لكرة القدم),رياضة,الجزائر
