id,title,caption,topic,country,model_source,generated_image_path,quality_tier,eval_image_1,eval_image_2,eval_image_3,eval_title_1,eval_title_2,eval_title_3,user_1,user_2,user_3,eval_count,final_score_image,final_score_title
724.0,نفوق جماعي للأسماك في نهر السنغال يثير قلق الصيادين في موريتانيا,صيادون محليون يقفون على ضفاف نهر السنغال يتفقدون الأسماك النافقة المنتشرة بين الأعشاب المائية، وسط محاولات لمعرفة أسباب الكارثة البيئية الأخيرة (وكالة الأنباء الموريتانية),بيئة,موريتانيا,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_723.png,standard,,,,,,,,,,0,,
725.0,الإمارات تدشّن أول مشروع لتحويل نفايات المزارع إلى وقود حيوي في منطقة الظفرة,مهندسون إماراتيون يشرفون على آلات فرز النفايات الزراعية في موقع المشروع بضواحي الظفرة غرب أبوظبي (وام),طاقة,الإمارات,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_724.png,standard,,,,,,,,,,0,,
729.0,وفد برلماني سوري يزور موسكو للتباحث حول المبادرة الروسية لإعادة الإعمار,رئيس مجلس الشعب السوري يلتقي كبار المسؤولين في الدوما الروسي خلال جلسة مغلقة بموسكو (وكالة سبوتنيك),سياسة,سوريا,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_728.png,standard,,,,,,,,,,0,,
730.0,حقل الرياح العُماني الجديد في صلالة يدخل الخدمة لتعزيز الطاقة النظيفة,توربينات رياح حديثة تدور على سفوح الجبال بالقرب من صلالة مع مشهد الغيوم والساحل الجنوبي (الجزيرة),طاقة,عُمان,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_729.png,standard,,,,,,,,,,0,,
731.0,مزارعو بيدوا يواجهون خطر الجراد مع تراجع الدعم الدولي,مزارع صومالي يتفقد محاصيل الذرة المتضررة في ضواحي مدينة بيدوا بعد هجوم الجراد الأخير (وكالة الأنباء الصومالية),بيئة,الصومال,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_730.png,standard,,,,,,,,,,0,,
735.0,حملة تطوعية في ظفار لترميم المدارس القديمة وتشجيع التعليم الريفي,متطوعون يعملون على طلاء جدران مدرسة ابتدائية في إحدى قرى محافظة ظفار وسط فرحة الأطفال (الجزيرة),تعليم,عُمان,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_734.png,high,,,,,,,,,,0,,
736.0,المعارضة القمرية تدعو لتعديل قوانين الانتخابات بعد تزايد الطعون في نتائج البلديات,تجمع لأنصار المعارضة أمام مقر اللجنة الانتخابية في موروني احتجاجاً على نتائج الانتخابات المحلية الأخيرة بجزر القمر (رويترز),سياسة,جزر القمر,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_735.png,standard,,,,,,,,,,0,,
737.0,ارتفاع صادرات زيت الزيتون التونسي يغذي تفاؤل المزارعين مع اقتراب موسم الحصاد,عاملون ينقلون صناديق مليئة بحبات الزيتون الطازجة في أحد حقول محافظة صفاقس خلال الاستعدادات لموسم الجني (رويترز),اقتصاد,تونس,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_736.png,standard,,,,,,,,,,0,,
741.0,موريتانيا تبدأ تدريس الأمازيغية في المدارس الابتدائية لأول مرة,مجموعة من التلاميذ الموريتانيين يتابعون درساً في فصل مدرسي بمدينة أطار، معلمة تكتب حروف الأمازيغية على السبورة ووجوه الطلاب يملؤها الفضول (وكالة الأخبار الموريتانية),تعليم,موريتانيا,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_740.png,standard,,,,,,,,,,0,,
742.0,موريتانيا تدشن أول مركز حكومي لطب الولدان في نواكشوط,وزير الصحة الموريتاني يقطع الشريط إيذاناً بافتتاح مركز طب الولدان الجديد بحضور طواقم طبية وأمهات في المستشفى الوطني بالعاصمة (وكالة الأنباء الموريتانية),صحة,موريتانيا,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_741.png,standard,,,,,,,,,,0,,
743.0,قوافل المياه تعود إلى شوارع مقديشو بعد أزمة عطش غير مسبوقة,شاحنات محملة بخزانات مياه تجوب أحياء مقديشو لتوزيع المياه على السكان وسط تزاحم الأطفال حولها (رويترز),مجتمع,الصومال,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_742.png,standard,,,,,,,,,,0,,
747.0,الإمارات تدشن أول محطة لتحويل نفايات الطعام إلى غاز حيوي في الشارقة,أحد المهندسين الإماراتيين يشرف على عملية إدخال مخلفات الطعام إلى وحدات التحويل الحديثة داخل المحطة، حيث تظهر بجانبه مجموعة من الصهاريج الضخمة وأجهزة المراقبة الرقمية في منشأة صناعية حديثة على أطراف مدينة الشارقة. (وكالة أنباء الإمارات),طاقة,الإمارات,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_746.png,standard,,,,,,,,,,0,,
748.0,معارضة جزر القمر تطالب بتعديلات دستورية للحد من سلطات الرئيس,أعضاء في البرلمان المعارض يناقشون مقترحات الإصلاح السياسي في أحد مباني الجمعية الوطنية بموروني – وكالة الأنباء الفرنسية,سياسة,جزر القمر,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_747.png,standard,,,,,,,,,,0,,
749.0,بغداد تعلن خطة لتأمين سد الموصل وسط تحذيرات من محاولات تخريبية,قوة من الشرطة الاتحادية العراقية تعزز من وجودها قرب سد الموصل شمال العراق وسط تشديدات أمنية ملحوظة (رويترز),سياسة,العراق,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_748.png,standard,,,,,,,,,,0,,
753.0,مدارس الخليل تعتمد التعليم المدمج لتعويض الفاقد التعليمي بعد العدوان الأخير,طلاب وطالبات في إحدى مدارس الخليل يتلقون دروسهم بين الصفوف التقليدية وجلسات التعلم عبر الأجهزة اللوحية (رويترز),تعليم,فلسطين,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_752.png,high,,,,,,,,,,0,,
754.0,اليمن يفتتح أول محطة رياح لتوليد الكهرباء في محافظة المهرة,توربينات الرياح الجديدة ترتفع فوق الكثبان الساحلية في المهرة بينما عمال محليون يراقبون بدء التشغيل التجريبي (الجزيرة),طاقة,اليمن,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_753.png,standard,,,,,,,,,,0,,
755.0,معرض للأزياء التقليدية في موروني يسلّط الضوء على تراث المرأة القمرية,نساء يرتدين أزياء تقليدية ملونة خلال عرض في مركز ثقافي وسط العاصمة موروني (الفرنسية),ثقافة,جزر القمر,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_754.png,standard,,,,,,,,,,0,,
759.0,ارتفاع منسوب تلوّث نهر الليطاني يهدد حياة الأسماك والمزارعين جنوب لبنان,مشهد لنهر الليطاني بمياهه العكرة وفضلات صناعية تطفو على سطحه بالقرب من أحد الحقول الزراعية في البقاع (رويترز),بيئة,لبنان,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_758.png,standard,,,,,,,,,,0,,
760.0,الصومال تعلن انعقاد مؤتمر وطني للحوار بين الفصائل السياسية نهاية الشهر الحالي,قصر فيلا صوماليا خلال التحضيرات لاستقبال ممثلي الأحزاب والفصائل السياسية في مقديشو (رويترز),سياسة,الصومال,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_759.png,high,,,,,,,,,,0,,
899.0,مباحثات بين قيادات شرق السودان والحكومة المركزية بشأن الحكم الذاتي تتقدم بصعوبة,وفد من زعماء قبائل شرق السودان خلال اجتماع تفاوضي مع مسؤولين حكوميين في الخرطوم وسط أجواء من التوتر (الفرنسية),سياسة,السودان,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_898.png,high,,,,,,,,,,0,,
900.0,بدء تشغيل أكبر محطة لتحلية مياه البحر تعمل بالطاقة الشمسية في رأس الخيمة,ألواح طاقة شمسية ضخمة تتلألأ تحت أشعة الشمس بجوار خزانات مياه حديثة في منشأة صناعية حديثة (رويترز),طاقة,الإمارات,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_899.png,standard,,,,,,,,,,0,,
905.0,توقيع اتفاقية لتطوير موانئ صومالية بين الحكومة وشركة تركية,وزير النقل الصومالي ومسؤولون من شركة تركية يوقعون وثائق الاتفاق في مقديشو بحضور رجال أعمال وإعلاميين (الأناضول),اقتصاد,الصومال,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_904.png,high,,,,,,,,,,0,,
906.0,افتتاح أول متحف رقمي للخط العربي في قسنطينة لجذب الزوار الشباب,زوار يتجولون داخل قاعة عرض تفاعلية بالمتحف الجديد في قسنطينة ويشاهدون شاشات تعرض نماذج من الخط العربي عبر العصور (وكالة الأنباء الجزائرية),ثقافة,الجزائر,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_905.png,high,,,,,,,,,,0,,
911.0,بدء محادثات بين الحكومة والمعارضة حول إصلاحات انتخابية في جيبوتي,جانب من اجتماع وفدي الحكومة والمعارضة داخل قاعة المؤتمرات الرئيسية في العاصمة جيبوتي (وكالة الأنباء الجيبوتية),سياسة,جيبوتي,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_910.png,low,,,,,,,,,,0,,
912.0,مهرجان الشعر الحساني في أطار يستقطب المواهب الشابة ويحيي التراث الشفهي الموريتاني,مجموعة من الشعراء الشباب يرتدون الدراعة التقليدية ويلقون قصائد بالحسانية أمام جمهور متنوع في ساحة أطار الرئيسية (الجزيرة),ثقافة,موريتانيا,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_911.png,standard,,,,,,,,,,0,,
917.0,تونس تطلق أول مركز رعاية لمرضى الزهايمر في الجنوب وتعوّل على الكوادر الشابة,أخصائية علاج نفسي تواسي سيدة مسنّة في إحدى قاعات المركز الجديد بمدينة قابس (رويترز),صحة,تونس,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_916.png,standard,,,,,,,,,,0,,
918.0,الرياض تطلق أول شبكة نقل ذكية بالكامل للحافلات في الأحياء السكنية,حافلات كهربائية حديثة تتوقف عند محطة في حي النخيل شمال الرياض (الشرق الأوسط),تقنية,السعودية,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_917.png,standard,,,,,,,,,,0,,
923.0,بغداد تعلن تفاصيل اتفاق أمني مع تركيا لمواجهة تسلل الجماعات المسلحة عبر الحدود,وزير الداخلية العراقي ونظيره التركي خلال مؤتمر صحفي مشترك في مقر وزارة الداخلية ببغداد، وخلفهم أعلام البلدين (الأناضول),سياسة,العراق,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_922.png,standard,,,,,,,,,,0,,
924.0,موسم الرمان في الباحة: مزارعون سعوديون يصدرون أول شحنة إلى شرق آسيا,مزارع سعودي يعرض صناديق رمان طازج تمهيداً لشحنها من أحد بساتين الباحة (رويترز),اقتصاد,السعودية,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_923.png,standard,,,,,,,,,,0,,
929.0,انهيار مبنى سكني قديم يودي بحياة 4 أشخاص في حي الميدان بدمشق,رجال الدفاع المدني يبحثون بين أنقاض مبنى متصدع في حي الميدان وسط العاصمة السورية دمشق (وكالة سانا),حوادث,سوريا,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_928.png,standard,,,,,,,,,,0,,
930.0,شبيبة القبائل يطلق أكاديمية جديدة لتطوير المواهب في الجنوب الجزائري,مجموعة من الأطفال يحملون كرات قدم ويرتدون أطقم النادي الجديدة خلال حصة تدريبية في مدينة أدرار (رويترز),رياضة,الجزائر,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_929.png,standard,,,,,,,,,,0,,
976.0,انقطاع الإنترنت يربك الامتحانات الجامعية في الخرطوم والأسرة التعليمية تطالب بتدخل عاجل,طلاب سودانيون يجلسون أمام مبنى كلية الهندسة بجامعة الخرطوم في انتظار استئناف خدمة الإنترنت لاستكمال امتحاناتهم النهائية (الصورة من وكالة السودان للأنباء),تقنية,السودان,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_975.png,low,,,,,,,,,,0,,
977.0,انتشار الحمى النزفية يثير قلق الأطباء في شمال سوريا,طاقم طبي يعالج طفلاً صغيراً في وحدة عزل داخل أحد مستشفيات مدينة إدلب، حيث تظهر علامات القلق على وجوه الأطباء وسط نقص المستلزمات الطبية (وكالة الصحافة السورية),صحة,سوريا,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_976.png,standard,,,,,,,,,,0,,
982.0,جزر القمر توقع اتفاقية لإنشاء أول منطقة حرة بحرية لتعزيز صادرات الأسماك,مركب صيد تقليدي قبالة سواحل موروني، حيث يعوّل الصيادون المحليون على المشاريع الجديدة لتحسين دخلهم وزيادة النفاذ إلى الأسواق العالمية (رويترز),اقتصاد,جزر القمر,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_981.png,standard,,,,,,,,,,0,,
983.0,مبادرة شبابية في اللاذقية تعيد الحياة إلى الحدائق العامة المهملة,متطوعون شباب يعملون على تنظيف وزراعة الأشجار في إحدى حدائق اللاذقية وسط تفاعل سكان الأحياء المجاورة,مجتمع,سوريا,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_982.png,standard,,,,,,,,,,0,,
988.0,مدارس الأرياف الجزائرية تواجه شبح الإغلاق وسط نزوح العائلات للمدن,صفوف دراسية شبه خالية في مدرسة ابتدائية ببلدة جبلية قرب سطيف مع بقاء عدد قليل من الطلبة (الأناضول),قضايا اجتماعية,الجزائر,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_987.png,standard,,,,,,,,,,0,,
989.0,عُمان تطلق أول صندوق استثماري لدعم الشركات الناشئة في الصناعات البحرية,سفن صيد عمانية راسية في ميناء خصب ضمن حملة لتعزيز الاستثمارات البحرية المحلية (وزارة الثروة السمكية العمانية),اقتصاد,عُمان,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_988.png,standard,,,,,,,,,,0,,
994.0,ميناء عدن يستعيد نشاطه بعد اتفاق جديد مع شركات الشحن العالمية,حاويات بضائع تتكدس في ساحة ميناء عدن مع عمال ومعدات تفريغ تعمل في الصباح الباكر (رويترز),اقتصاد,اليمن,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_993.png,standard,,,,,,,,,,0,,
995.0,دراسة قطرية: ارتفاع مستويات القلق الاجتماعي بين المراهقين بسبب الضغوط الأكاديمية,مجموعة من طلاب المرحلة الثانوية أثناء جلسة دعم نفسي في إحدى المدارس بالدوحة (الجزيرة),قضايا اجتماعية,قطر,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_994.png,standard,,,,,,,,,,0,,
1000.0,الإمارات تعلن عن مبادرة للوساطة في الأزمة بين السودان وتشاد,وزير الخارجية الإماراتي عبد الله بن زايد خلال لقاء دبلوماسي مع نظيره التشادي في أبوظبي (وام),سياسة,الإمارات,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_999.png,standard,,,,,,,,,,0,,
1001.0,عائلات فلسطينية تقيم مخيماً احتجاجياً في غزة للمطالبة بإعادة بناء منازلها المدمرة,"أطفال يجلسون تحت أغطية بلاستيكية وسط أنقاض منازل مدمرة في حي الشجاعية شرق غزة، بينما ترفع لافتة كُتب عليها ""نريد سقفاً آمناً لأطفالنا"" (رويترز)",قضايا اجتماعية,فلسطين,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_1000.png,standard,,,,,,,,,,0,,
1006.0,انهيار مبنى سكني في تعز يسفر عن مقتل وإصابة عدة عائلات,رجال إنقاذ يبحثون بين أنقاض مبنى منهار وسط تجمهر سكان الحي في منطقة الجحملية بتعز (الجزيرة),حوادث,اليمن,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_1005.png,standard,,,,,,,,,,0,,
1057.0,البرلمان الصومالي يناقش مشروع قانون جديد لتنظيم الموارد البحرية وسط تصاعد التوتر مع كينيا,صيادون صوماليون يعرضون صيدهم اليومي في ميناء مقديشو مع غروب الشمس (رويترز),سياسة,الصومال,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_1056.png,standard,,,,,,,,,,0,,
1058.0,سيول مفاجئة تجتاح سبها وتتسبب في انهيار منازل ومقتل أربعة أشخاص,مياه السيول تغمر أحد أحياء مدينة سبها جنوب ليبيا وتحيط بالمنازل المتضررة (رويترز),حوادث,ليبيا,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_1057.png,standard,,,,,,,,,,0,,
1068.0,انهيار مبنى سكني قديم في البصرة يخلف قتلى وجرحى بين السكان,فرق الدفاع المدني ترفع الأنقاض بحثاً عن ناجين في موقع انهيار المبنى وسط حي شعبي بالبصرة (رويترز),حوادث,العراق,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_1067.png,standard,,,,,,,,,,0,,
1069.0,تطوع نسائي يضيء دروب المرضى في مستشفيات الكويت,متطوعات يتبادلن الحديث مع مريضة مسنّة في جناح العناية الطويلة بمستشفى الصباح، وهن يحملن علب كتب ترفيهية ووروداً صغيرة (الجزيرة),قضايا اجتماعية,الكويت,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_1068.png,standard,,,,,,,,,,0,,
1070.0,سلطنة عمان تدشّن أول محطة تجريبية لإنتاج الأمونيا الخضراء في صحار,محطة الطاقة الجديدة في المنطقة الصناعية بصحار عند لحظة تشغيلها الأولية بحضور عدد من المهندسين والمسؤولين العمانيين (رويترز),طاقة,عُمان,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_1069.png,standard,,,,,,,,,,0,,
1159.0,انطلاق أول منصة رقمية لتسويق منتجات الحرف اليدوية في جزر القمر,حرفي كوموري يقوم بنقش الزخارف على أدوات تقليدية استعداداً لعرضها عبر المنصة الجديدة (غيتي),تقنية,جزر القمر,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_1158.png,standard,,,,,,,,,,0,,
1160.0,البحرين تطلق صندوقاً لدعم الشركات الناشئة في قطاع الأغذية والزراعة,وزير الصناعة والتجارة البحريني يعلن تفاصيل المبادرة خلال مؤتمر اقتصادي في المنامة، بحضور ممثلين عن القطاع الخاص (بنا),اقتصاد,البحرين,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_1159.png,standard,,,,,,,,,,0,,
1164.0,جداريات النوبة تروي تاريخ الجنوب في شوارع أسوان,فنان نوبي يرسم لوحة تراثية ملونة على أحد جدران قرية غرب سهيل بأسوان (رويترز),ثقافة,مصر,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_1163.png,standard,,,,,,,,,,0,,
1165.0,انهيار مبنى سكني قديم يودي بحياة سبعة أشخاص في صنعاء القديمة,فرق الإنقاذ تواصل البحث بين أنقاض المبنى المنهار وسط الأزقة الضيقة لصنعاء القديمة (الجزيرة),حوادث,اليمن,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_1164.png,standard,,,,,,,,,,0,,
1166.0,فنانون جزائريون يحيون مهرجان الألوان في تمنراست احتفالاً بالتراث الصحراوي,مجموعة من الفنانين يرتدون أزياء تقليدية ملونة ويرقصون وسط رمال الصحراء قرب خيام أمازيغية مزينة (رويترز),ثقافة,الجزائر,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_1165.png,standard,,,,,,,,,,0,,
1171.0,الصومال يستضيف أول بطولة إقليمية لكرة القدم الشاطئية بمقديشو,لاعبون صوماليون يجرون تمارين الإحماء على الشاطئ الرملي لخليج عدن استعداداً للمباراة الافتتاحية (رويترز),رياضة,الصومال,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_1170.png,standard,,,,,,,,,,0,,
1172.0,معمار صنعاء القديمة على قائمة اليونسكو للتراث المهدد.. جهود محلية لإنقاذ الهوية اليمنية,منظر عام لأبنية صنعاء القديمة بزخارفها الطينية الفريدة في أحد أحياء العاصمة اليمنية عند غروب الشمس (وكالة الأناضول),ثقافة,اليمن,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_1171.png,standard,,,,,,,,,,0,,
1235.0,موجة جفاف حادة تضرب الأرياف الصومالية وتدفع آلاف الأسر نحو النزوح إلى مقديشو,نساء وأطفال يحملون ما تبقى من أمتعتهم وهم يجتازون أرضاً قاحلة في الطريق إلى مركز استقبال للنازحين في ضواحي مقديشو (رويترز),قضايا اجتماعية,الصومال,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_1234.png,standard,,,,,,,,,,0,,
1236.0,عُمان تطلق حملة موسعة لمكافحة الملاريا بعد تسجيل أولى الإصابات المحلية منذ عقدين,فريق طبي عماني يجهز معدات الرش والمكافحة في إحدى المناطق الريفية بولاية بهلاء، وسط متابعة من السكان (وزارة الصحة العمانية),صحة,عُمان,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_1235.png,standard,,,,,,,,,,0,,
1237.0,الجزائر تطلق بورصة للسلع الزراعية لدعم المزارعين وتنظيم الأسعار,مسؤولون جزائريون يرفعون الستار عن أول منصة إلكترونية لتداول القمح والشعير في قاعة حديثة بالعاصمة (وكالات),اقتصاد,الجزائر,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_1236.png,standard,,,,,,,,,,0,,
