id,title,caption,topic,country
13,عُمان تعلن عن إطلاق حملة وطنية للتوعية بسرطان الثدي,مجموعة من المتطوعات يرتدين الأوشحة الوردية في فعالية تعزز الوعي بسرطان الثدي في مسقط (العمانية),صحة,عُمان
14,تفاصيل جديدة حول حادث انهيار المبنى في عمان: فرق الإنقاذ تواصل البحث عن المفقودين,فرق الإنقاذ تعمل بجد في موقع انهيار المبنى في منطقة جبل الحسين بعمان، حيث تم إرسال معدات خاصة للبحث عن الناجين تحت الأنقاض (الأردنية).,حوادث,الأردن
15,لقاء مجتمعي في الخرطوم للمطالبة بتحسين خدمات المياه والصرف الصحي,صور من الاجتماع الذي عُقد في إحدى قاعات الخرطوم، حيث تجمع المواطنون للمشاركة في النقاش حول قضايا المياه والخدمات العامة (الجزيرة),مجتمع,السودان
16,السعودية تطلق مشروعًا ضخمًا لتحويل الطاقة الشمسية إلى هيدروجين أخضر,جانب من احتفالية تدشين المشروع الجديد في الرياض، حيث عرضت نماذج لمحطات الطاقة الشمسية المخصصة لإنتاج الهيدروجين الأخضر.,طاقة,السعودية
17,الكويت تطلق مبادرة جديدة لتعزيز التعلم الرقمي في المدارس,مجموعة من الطلاب في مدرسة كويتية يستخدمون الأجهزة اللوحية خلال درس تعليمي حديث يركز على التكنولوجيا في التعليم (وزارة التربية الكويتية),تعليم,الكويت
18,البحرين تطلق مبادرة لتعزيز التعايش السلمي بين الأديان والمذاهب,ممثلون عن مختلف الأديان والمذاهب خلال افتتاح فعاليات المبادرة في المنامة (وكالة أنباء البحرين),سياسة,البحرين
19,عمان تستضيف قمة الاستثمار العربي لتعزيز التعاون الاقتصادي بين الدول,وفود عربية تتجمع في قاعة المؤتمرات الكبرى في مسقط خلال فعاليات قمة الاستثمار العربي، حيث تم مناقشة مشاريع مشتركة لتعزيز التنمية الاقتصادية (مواقع التواصل),اقتصاد,عُمان
20,المغرب يستضيف بطولة شمال إفريقيا لكرة القدم تحت 20 عاماً وسط حماسة جماهيرية,"ملعب ""الأمير مولاي عبدالله"" في الرباط يكتظ بالجماهير في افتتاح البطولة التي تجمع أفضل المنتخبات الشابة في المنطقة (الأناضول)",رياضة,المغرب
21,البحرين تطلق حملة للتوعية بمرض السكري بمناسبة اليوم العالمي للصحة,مجموعة من المتطوعين في البحرين يرتدون قمصاناً تحمل شعارات عن التوعية بالسكري، خلال توزيع منشورات صحية في أحد الأسواق الشعبية (الفرنسية),صحة,البحرين
22,العراق يطلق برنامجاً وطنياً لدعم المشاريع الصغيرة والمتوسطة في المناطق النائية,مجموعة من رواد الأعمال الشباب في ورشة عمل تتعلق بتطوير مهاراتهم في إدارة المشاريع، تعقد في إحدى القرى العراقية النائية تحت إشراف وزارة التخطيط (الأخبار العراقية).,اقتصاد,العراق
23,مهرجان قرطاج السينمائي يفتتح دورته الجديدة بأفلام عربية متنوعة ورسالة إنسانية قوية,حشود من محبي السينما يتجمعون أمام المسرح الرئيسي في مدينة قرطاج التونسية لحضور افتتاح مهرجان قرطاج السينمائي، حيث تجذب الأضواء والموسيقى انتباه الحضور في ليلة مميزة من الاحتفال بالفن السابع (الجزيرة).,ثقافة,تونس
24,انقلاب حافلة سياحية في الطريق الصحراوي يتسبب في إصابات متعددة,صورة للحافلة المنقلبة بجانب الطريق الصحراوي، حيث ظهر رجال الدفاع المدني وهم ينقلون المصابين إلى سيارات الإسعاف (البوابة المصرية).,حوادث,مصر
25,الجزائر تدشن منصة إلكترونية جديدة لتعزيز التعليم المهني,وزير التعليم الجزائري خلال الإطلاق الرسمي للمنصة الإلكترونية في حفل حضره مجموعة من الطلاب والمعلمين (الجزيرة),تعليم,الجزائر
26,البحرين تطلق حملة وطنية للتوعية بأهمية إعادة تدوير النفايات البلاستيكية,مواطنون بحرينون يشاركون في ورشة عمل تفاعلية حول إعادة تدوير النفايات البلاستيكية وكيفية تقليل استخدامها، تحت إشراف وزارة الأشغال. (الفرنسية),بيئة,البحرين
27,تونس تطلق أول منصة رقمية لدعم الابتكار في القطاع الزراعي,وزير الفلاحة التونسي يعرض تفاصيل المنصة الرقمية الجديدة خلال المؤتمر الصحفي الذي أقيم في العاصمة تونس، حيث تمثل خطوة نحو تعزيز الاستدامة والابتكار الزراعي في البلاد (وكالة تونس أفريقيا للأنباء).,تقنية,تونس
28,الأهلي المصري يتفوق على الزمالك في دربي القاهرة ويحقق انتصاراً مهماً في دوري المحترفين,لحظة تسجيل هدف الفوز للأهلي في مرمى الزمالك، مع احتفال اللاعبين أمام جماهيرهم الغفيرة في استاد القاهرة (وكالة الأنباء المصرية),رياضة,مصر
29,جيبوتي تستعد لاستضافة مؤتمر إقليمي حول الأمن البحري في البحر الأحمر,المشاركون في المؤتمر يتبادلون الآراء حول سبل تعزيز التعاون الأمني في موانئ البحر الأحمر (الجزيرة),سياسة,جيبوتي
30,مهرجان قرطاج الدولي يضيء سماء تونس بألوان الفنون العربية,فنانون يؤدون عرضاً موسيقياً على المسرح الأثري بقرطاج، وسط أضواء متلألئة وجمهور متحمس يحتفل بالفن والثقافة العربية (بيت الثقافة).,ثقافة,تونس
31,جيبوتي تُعلن حالة الطوارئ إثر فيضانات غير مسبوقة تضرب العاصمة,مشهد لسيارات غارقة في المياه في شوارع العاصمة جيبوتي بعد الأمطار الغزيرة التي أدت إلى فيضانات واسعة النطاق (الجزيرة),حوادث,جيبوتي
32,تونس تطلق مشروعاً مبتكراً للطاقة الشمسية لتعزيز الاستدامة البيئية,مجموعة من العمال يقومون بتركيب الألواح الشمسية في أحد مواقع المشروع الجديد بالقرب من العاصمة تونس (رويترز),طاقة,تونس
33,الحكومة الليبية تعلن عن خطة استثمارية جديدة لتعزيز الاقتصاد الوطني,مسؤول حكومي يشرح تفاصيل الخطة الاستثمارية الجديدة أمام مجموعة من رجال الأعمال في طرابلس (الجزيرة),اقتصاد,ليبيا
34,جيبوتي تطلق مبادرة جديدة لتعزيز التحول الرقمي في التعليم الابتدائي,طلاب في صف دراسي في جيبوتي يستخدمون أجهزة الكمبيوتر اللوحية كجزء من برنامج التعليم الرقمي الجديد (وزارة التربية الوطنية في جيبوتي),تقنية,جيبوتي
35,الصومال يطلق حملة وطنية لمكافحة السمنة وزيادة الوعي الصحي,وزيرة الصحة الصومالية تتحدث في مؤتمر صحفي بالعاصمة مقديشو، حيث تم الإعلان عن الحملة التي تستهدف تحسين العادات الغذائية وتعزيز النشاط البدني بين المواطنين (الجزيرة).,صحة,الصومال
36,وزارة التعليم السورية تطلق مبادرة جديدة لتعزيز التعليم المهني والتقني,وزير التعليم يتحدث خلال المؤتمر الصحفي حول المبادرة الجديدة مع مجموعة من الطلاب المهنيين في خلفية الصورة (الأخبار السورية),تعليم,سوريا
37,تزايد حالات الأمراض التنفسية في شمال سوريا نتيجة تدهور جودة الهواء,عائلة سورية تستخدم كمامات أثناء البحث عن مياه شرب في حي مكتظ بالسكان في إدلب، مع تلوث الهواء واضحاً في الخلفية (رويترز),صحة,سوريا
38,اليمن يطلق حملة لتشجير المناطق الساحلية لمكافحة التغير المناخي,مجموعة من المتطوعين في مدينة الحديدة يزرعون الأشجار على الساحل، وسط جهود لتحقيق بيئة أكثر استدامة ومواجهة آثار التغير المناخي (اليمن اليوم),بيئة,اليمن
39,المغرب يستعد لإطلاق أكبر محطة شمسية في شمال إفريقيا,نموذج لمحطة الطاقة الشمسية الجديدة المقرر إنشاؤها في منطقة العيون، والتي تهدف إلى تعزيز إنتاج الطاقة المتجددة في البلاد (الجزيرة),طاقة,المغرب
40,المغرب يطلق أول برنامج لتمويل startups التقنية بمليوني درهم,مجموعة من رواد الأعمال الشباب يتبادلون الأفكار خلال ورشة عمل خاصة ببرنامج تمويل الابتكار في الرباط (الصحافة المغربية),تقنية,المغرب
41,الأندية السعودية تستعد لموسم الانتقالات الشتوية بتعزيزات قوية,لاعبو نادي النصر خلال حصة تدريبية استعدادًا لتدعيم صفوفهم قبل موسم الانتقالات الشتوية، حيث يسعى الفريق لجلب لاعبين جدد لتعزيز المنافسة في الدوري السعودي (المصدر: وكالة الأنباء السعودية).,رياضة,السعودية
42,الحكومة السورية تطلق خطة إعادة الإعمار بالتعاون مع المؤسسات المحلية والدولية,وزراء سوريون خلال مؤتمر صحفي لاستعراض خطة إعادة الإعمار بحضور ممثلين عن منظمات دولية (مواقع التواصل),اقتصاد,سوريا
43,شجار عائلي يتحول لمأساة في إربد ويخلف إصابات خطيرة,عناصر من الشرطة الأردنية يتواجدون في موقع الحادث وسط إربد حيث وقع الشجار المأساوي (البترا),حوادث,الأردن
44,انفجار قوي يهز منطقة الجناح في بيروت ويوقع إصابات,رجال الإسعاف يعملون على إجلاء المصابين من موقع الانفجار الذي وقع في منطقة الجناح، وسط حالة من الفوضى والقلق بين السكان (رويترز),حوادث,لبنان
45,المغرب يتجه نحو الاعتماد على الطاقات المتجددة لتعزيز أمنه الطاقة,عمال يقومون بتركيب الألواح الشمسية في مشروع للطاقة المتجددة بالقرب من مدينة ورزازات (الجزيرة),طاقة,المغرب
46,المنتخب الصومالي يستعد للمشاركة في بطولة الأمم الإفريقية تحت 23 عاماً,اللاعبون الصوماليون يتدربون في معسكرهم التدريبي مع مدربهم الجديد، حيث يسعون لتقديم أداء مميز في البطولة التي تقام في الجزائر (رويترز),رياضة,الصومال
47,الجزائر تطلق مشروعاً وطنياً لتعزيز التعليم الرقمي في المدارس الابتدائية,طلاب في فصل دراسي بالجزائر يستخدمون الأجهزة اللوحية لتعزيز تعلمهم الرقمي في إطار مشروع جديد تم إطلاقه من قبل وزارة التربية الوطنية (الجزيرة).,تعليم,الجزائر
48,الحكومة الصومالية تطلق مبادرة جديدة لتحسين التعليم الأساسي في المناطق الريفية,أطفال صوماليون في فصل دراسي بدائي يتلقون التعليم في إحدى القرى الريفية، حيث يظهر على السبورة رسومات تعليمية باللغة الصومالية (الأوروبية),تعليم,الصومال
49,جزر القمر تحتفل بمرور 20 عاماً على تأسيس أول جامعة حكومية,حفل الافتتاح شهد حضور وزير التعليم العالي ورؤساء الجامعات الخاصة، حيث تم تكريم مجموعة من الخريجين المتميزين (وسائل التواصل الاجتماعي).,مجتمع,جزر القمر
50,بطولة الأندية العربية لكرة اليد تُختتم بفوز ساحق لفريق الشارقة,لاعبو فريق الشارقة يحتفلون بعد تسجيل هدف في المباراة النهائية، وسط أجواء حماسية في الصالة الرياضية الكبرى بدبي (الإمارات اليوم),رياضة,الإمارات
51,الصومال تطلق حملة وطنية للتحصين ضد الأمراض المعدية,فريق من الأطباء والممرضين يقومون بتطعيم الأطفال في إحدى العيادات المحلية في مقديشو، حيث تسعى الحملة إلى تعزيز الصحة العامة والوقاية من الأمراض الشائعة في البلاد. @من صفحة وزارة الصحة الصومالية.,صحة,الصومال
52,الإمارات تطلق مبادرة جديدة للحفاظ على السلاحف المهددة بالانقراض,فريق من الخبراء البيئيين يعملون على إعداد مواقع تعشيش جديدة للسلاحف على سواحل أبوظبي (الصورة من وزارة التغير المناخي والبيئة في الإمارات).,بيئة,الإمارات
53,مهرجان قرطاج الدولي يفتح أبوابه لمشاهير الفن العربي بمشاركة واسعة هذا الصيف,الفنانة التونسية هالة صدقي تتألق على خشبة المسرح في افتتاح مهرجان قرطاج الدولي، حيث تشهد الفعالية حضوراً جماهيرياً لافتاً ونجوم من مختلف الدول العربية (الأنباء التونسية).,ثقافة,تونس
54,الجزائر تطلق حملة توعية للحد من السمنة بين الأطفال والمراهقين,أطفال في مدرسة ابتدائية الجزائرية يشاركون في نشاط رياضي ضمن الحملة التوعوية (التلفزيون الجزائري),صحة,الجزائر
55,المغرب يحقق قفزة في صادرات الفواكه والخضروات إلى السوق الأوروبي,شاحنات محملة بالفواكه والخضروات الطازجة في ميناء طنجة، حيث يشهد تصدير المنتجات المغربية ارتفاعاً ملحوظاً خلال موسم 2023 (مكتب الإحصاء المغربي),اقتصاد,المغرب
56,اليمن يستعد لتدشين مشروع الطاقة الشمسية الأكبر في الشرق الأوسط,خبراء ومهندسون يتفقدون الموقع الذي سيحتضن المشروع الطموح في محافظة مأرب، والذي يهدف لتوليد الطاقة النظيفة وتوفير الكهرباء للمدن اليمنية (أ ف ب),طاقة,اليمن
57,البحرين تطلق مبادرة لتعزيز الوعي البيئي بين الشباب,مجموعة من الشبان البحرينيين يشاركون في ورشة عمل حول الاستدامة البيئية وتدوير النفايات (الجزيرة),مجتمع,البحرين
58,الأردن يبدأ تنفيذ مشروع لتجديد الغابات المتدهورة في البلقاء,مشهد لفرقة من المتطوعين يزرعون الأشجار في منطقة البلقاء، في إطار جهود الحكومة الأردنية لإعادة تأهيل الغابات المتدهورة (موقع وزارة البيئة الأردنية),بيئة,الأردن
59,سلطنة عُمان تطلق مبادرة للحفاظ على التنوع البيولوجي في جبل شمس,فريق من الباحثين العمانيين يقومون بجمع عينات من النباتات النادرة في جبل شمس، الذي يعد من أعلى القمم في سلطنة عُمان، وذلك ضمن حملة توعوية للحفاظ على البيئة والتنوع البيولوجي (البيان),بيئة,عُمان
60,البحرين تستضيف مؤتمرًا إقليميًا حول الأمن السيبراني في الشرق الأوسط,مجموعة من الخبراء والمديرين التنفيذيين في مجال التكنولوجيا يتبادلون الآراء خلال جلسة نقاش في المؤتمر الذي عُقد في المنامة (الصحافة البحرينية),سياسة,البحرين
61,منتخب الأردن لكرة القدم يحقق فوزًا مثيرًا على نظيره العراقي في تصفيات كأس العالم,فرحة عارمة بين اللاعبين الأردنيين بعد تسجيل الهدف الحاسم في المباراة التي أقيمت على استاد عمان الدولي (الأناضول),رياضة,الأردن
62,إطلاق حملة توعية لمكافحة التنمر في المدارس الأردنية,طلاب في مدرسة بالعاصمة عمان يشاركون في ورشة عمل حول كيفية التعامل مع ظاهرة التنمر وأثرها على المجتمع، تحت إشراف معلمين ومتخصصين نفسيين (العربية),قضايا اجتماعية,الأردن
63,احتجاجات في السودان للمطالبة بتحسين أوضاع التعليم والصحة,مجموعة من الطلاب والشباب السودانيين يحملون لافتات خلال احتجاجاتهم في العاصمة الخرطوم، يعبرون عن مطالبهم بإعادة النظر في السياسات التعليمية والصحية (وكالة السودان للأنباء).,قضايا اجتماعية,السودان
64,عمان تطلق مبادرة جديدة لتعزيز التحول الرقمي في التعليم العام,الطالبة فاطمة تتابع دروسها عبر منصة تعليمية إلكترونية جديدة، مع التركيز على دمج التكنولوجيا في الفصول الدراسية لتعزيز التعلم الذاتي وتوسيع آفاق الطلاب (الجزيرة).,تقنية,عُمان
65,"إخماد حريق هائل في غابة ""الزاوية"" بالجزائر يهدد الحياة البرية",رجال الإطفاء يعملون على إخماد النيران المشتعلة في الغابة، بينما تتصاعد سحب الدخان الكثيف في السماء (الأخبار الجزائرية),حوادث,الجزائر
66,"""ليبيا تطلق أول منصة إلكترونية لتسويق المنتجات الزراعية المحلية""",مزارعون ليبيون يعرضون منتجاتهم في سوق محلي، مع واجهة المنصة الإلكترونية الجديدة في الخلفية (تصوير خاص).,تقنية,ليبيا
67,الكويت تستثمر 200 مليون دولار في طاقة الرياح لتعزيز استدامتها البيئية,نموذج لمحطة طاقة رياح في الكويت، يظهر فيها التوربينات الضخمة تتمايل برفق في الهواء (وكالة الأنباء الكويتية),طاقة,الكويت
68,زيادة الاستثمارات الأجنبية في القطاع السياحي السعودي بنسبة 40% خلال العام الجاري,مشهد لزوار يكتشفون أحد المعالم السياحية الحديثة في السعودية، مع وجود لافتات توضح الجذب السياحي الجديد (الشركة السعودية للسياحة).,اقتصاد,السعودية
69,البحرين تطلق حملة لزراعة الأشجار لحماية البيئة وتعزيز التنوع البيولوجي,متطوعون من مختلف الأعمار يزرعون شتلات الأشجار في منطقة ساحلية بالبحرين، حيث تسهم الحملة في مكافحة التصحر وتحسين جودة الهواء (الأناضول),بيئة,البحرين
70,تعزيز التعليم الفني في جزر القمر: إطلاق مشروع جديد لتحسين المهارات المهنية,صورة لطلاب يتلقون تدريبات عملية في ورشة عمل حديثة ضمن مشروع التعليم الفني في جزر القمر (المصدر: وزارة التعليم),تعليم,جزر القمر
71,المغرب يتجاوز عتبة الـ 10% من الاعتماد على الطاقة المتجددة في عام 2023,حقل من الألواح الشمسية يمتد على الأرض في الصحراء المغربية، حيث تُظهر أنظمة الطاقة المتجددة التزام البلاد نحو التحول البيئي (رويترز),اقتصاد,المغرب
72,جمعية في الأردن تطلق حملة لتوزيع الوجبات الغذائية على الأسر المحتاجة خلال فصل الشتاء,متطوعون في الجمعية يقومون بتحضير وتوزيع الوجبات الساخنة في أحد الأحياء الشعبية في عمان (الصحافة الأردنية),قضايا اجتماعية,الأردن
73,مصر تطلق مشروعًا طموحًا لتحول الطاقة المتجددة وتعزيز الاستدامة البيئية,لقطات تظهر مجموعة من المهندسين المصريين أثناء تنفيذ مشروع للطاقة الشمسية في صحراء شرق العوينات، حيث تم تركيب الألواح الشمسية على مساحة واسعة من الأرض لتوليد الطاقة النظيفة (الصحافة المصرية).,طاقة,مصر
74,تحسن نسبي في سوق العمل المصري خلال الربع الثالث من 2023,الشباب المصريون يتوجهون إلى مراكز التوظيف في القاهرة بحثاً عن فرص عمل جديدة، وسط جهود الحكومة لدعم سوق العمل المحلي. (الجزيرة),اقتصاد,مصر
75,وفاة خمسة أشخاص في حادث سير مروع على طريق البليدة - الجزائر,رجال الإنقاذ يحاولون إخراج الضحايا من السيارة المتضررة التي انقلبت في موقع الحادث على طريق البليدة، حيث تجمهر الأهالي لمتابعة عمليات الإنقاذ (الجزيرة),حوادث,الجزائر
76,البحرين تستضيف بطولة كأس الخليج العربي للسباحة بمشاركة 8 دول,السباحون يتأهبون على حافة المسبح في تجمع حاشد بأحد المرافق الرياضية في البحرين وسط أجواء تنافسية مثيرة (الجزيرة).,رياضة,البحرين
77,وفاة شخصين وإصابة آخرين في حادث سير مروع بسلطنة عمان,موقع الحادث الذي وقع على الطريق السريع بين مسقط وصحار، حيث تجمع رجال المرور والإسعاف حول المركبات المتضررة (وكالة الأنباء العمانية).,حوادث,عُمان
78,الجزائر تطلق منصة جديدة لمراقبة جودة الهواء في المدن الكبرى,فرق فنية في الجزائر العاصمة تقوم بإعداد أجهزة قياس جودة الهواء في أحد الأحياء المكتظة بالسكان، بينما يظهر في الخلفية برج التليفزيون الشهير (وزارة البيئة الجزائرية),تقنية,الجزائر
79,"""مهرجان تبادل الكتب في القاهرة يهدف لتعزيز ثقافة القراءة بين الشباب""",مجموعة من الشباب يتبادلون الكتب في ساحة مهرجان القراءة بالقاهرة، حيث يجتمعون لمناقشة الأدب وتعزيز الوعي الثقافي (الجزيرة).,قضايا اجتماعية,مصر
80,تحدِّيات سياسية جديدة تواجه الحكومة التونسية بعد استقالة وزيرين بارزين,تجمع شعبي في ساحة الحكومة يعكس حالة من الترقب والقلق بين المواطنين بعد الإعلان عن الاستقالات المفاجئة (رويترز),سياسة,تونس
81,حريق هائل يجتاح مصنعاً للأغذية في جدة ويتسبب في خسائر كبيرة,أعمدة من الدخان الأسود تتصاعد من المصنع بعد جهود رجال الإطفاء للسيطرة على الحريق الذي اندلع في الساعات الأولى من صباح اليوم (الشرطة السعودية),حوادث,السعودية
82,البحرين تطلق برنامجاً لتطوير مهارات المعلمين في العلوم الحديثة,مجموعة من المعلمين في ورشة عمل تفاعلية تهدف لتدريبهم على أحدث أساليب تدريس العلوم والتكنولوجيا في البحرين، حيث تنظم وزارة التربية والتعليم البرنامج في مركز التدريب التربوي (الوزارة).,تعليم,البحرين
83,فلسطين تطلق برنامج دعم المشاريع الصغيرة لتعزيز الاقتصاد المحلي,مجموعة من رواد الأعمال الفلسطينيين يتناقشون حول أفكارهم في ورشة عمل حول كيفية تطوير المشاريع الصغيرة في مدينة رام الله (الجزيرة),اقتصاد,فلسطين
84,انطلاق حملة توعوية جديدة للحفاظ على الحياة الفطرية في عُمان,مجموعة من المتطوعين خلال ورشة عمل تهدف إلى تعزيز الوعي بأهمية الحفاظ على الأنواع المهددة بالانقراض في محمية الجبل الأخضر (وكالة الأنباء العمانية),بيئة,عُمان
85,تزايد التحركات المجتمعية في جزر القمر لمكافحة التغير المناخي,مجموعة من المتطوعين المحليين يقومون بزراعة أشجار جديدة على الشاطئ في جزر القمر، في إطار مبادرة تهدف لحماية البيئة وتعزيز الوعي بمخاطر التغير المناخي (الأناضول),مجتمع,جزر القمر
86,احتفالية ثقافية بمناسبة اليوم الوطني للتراث المغربي في فاس,زوار يتجولون في أسواق فاس التاريخية خلال احتفالية تكريم الفنون والحرف التقليدية، حيث تم عرض منتجات محلية ومأكولات تقليدية يوم 30 سبتمبر/أيلول 2023 (رويترز),ثقافة,المغرب
87,السعودية تطلق استراتيجية جديدة لتعزيز الاستثمار في مصادر الطاقة المتجددة,موظفون في إحدى محطات الطاقة الشمسية في السعودية خلال أعمال تطوير تستهدف زيادة إنتاج الطاقة النظيفة (وكالة الأنباء السعودية),سياسة,السعودية
88,"الكويت تطلق مبادرة ""نحو تعليم مستدام"" لتعزيز التدريب المهني في المدارس","وزير التربية الكويتي خلال حضوره حفل إطلاق مبادرة ""نحو تعليم مستدام""، حيث يشارك في ورشة عمل تتضمن تدريب المعلمين على أساليب جديدة في التعليم المهني (وكالات).",تعليم,الكويت
89,جزر القمر تطلق مبادرة لتوسيع تغطية الإنترنت في المناطق النائية,وزير الاتصالات في جزر القمر يفتتح مشروعاً جديداً يهدف إلى توفير خدمات الإنترنت للقرى البعيدة، خلال مؤتمر صحفي بحضور سكان محليين (رويترز),تقنية,جزر القمر
90,التحركات السياسية في لبنان تتصاعد مع اقتراب الاستحقاقات الانتخابية,مجموعة من الكتل السياسية اللبنانية خلال اجتماع لبحث التحضيرات للانتخابات المزمع إجراؤها في نهاية العام (المستقبل).,سياسة,لبنان
91,المغرب يستعد لاستضافة قمة المناخ الأفريقية في 2024,مسؤولون من مختلف الدول الأفريقية يتناقشون حول تحديات المناخ في ورشة عمل بالرباط، قبيل انطلاق قمة المناخ القادمة (رويترز),مجتمع,المغرب
92,"انطلاق فعاليات ""الدوحة للخط العربي"" لتعزيز التراث الثقافي في قطر",فنانون ومصممون يشاركون في ورش عمل للخط العربي خلال المعرض المقام في مركز قطر الوطني للمؤتمرات (الجزيرة),مجتمع,قطر
93,مصر تطلق مشروع الطاقات المتجددة في صحراء النقب لتعزيز الاستدامة البيئية,مهندسون مصريون يراقبون تركيب الألواح الشمسية في مشروع الطاقات المتجددة بمنطقة النقب (الأناضول),طاقة,مصر
94,"""مشروع زراعي مبتكر في الضفة الغربية يساهم في تحقيق الاكتفاء الذاتي""",مزارعون فلسطينيون يعملون في حقولهم باستخدام تقنيات حديثة للزراعة المستدامة (الجزيرة),قضايا اجتماعية,فلسطين
95,العراق يُطلق منصة إلكترونية لتشجيع الابتكار في الشباب,مجموعة من الشباب العراقيين أثناء مشاركتهم في ورشة عمل حول التكنولوجيا والابتكار باستخدام المنصة الجديدة (الأنباء العراقية),تقنية,العراق
96,"وزارة التعليم الموريتانية تطلق مشروع ""مدرسة المستقبل"" لتعزيز التعليم الرقمي","أحد معلمي المدارس الموريتانية يستخدم جهازاً لوحيًا لتعريف الطلاب بتطبيقات تعليمية جديدة ضمن مشروع ""مدرسة المستقبل"" (الصورة: وزارة التعليم الموريتانية)",تعليم,موريتانيا
97,"""تعاون يمني-أمريكي في مجال الأمن السيبراني وسط التحديات المتزايدة""",خبراء تقنيون من اليمن والولايات المتحدة الأمريكية يتبادلون النقاشات حول استراتيجيات تعزيز الأمن السيبراني في ورشة عمل مشتركة بالعاصمة صنعاء (الجزيرة).,تقنية,اليمن
98,البحرين تتجه نحو تعزيز البيئة الاستثمارية عبر مشروع قانون جديد,وزير المالية البحريني خلال مؤتمر صحفي يعلن فيه عن تفاصيل مشروع قانون الاستثمار الجديد، الذي يهدف إلى جذب المزيد من الاستثمارات الأجنبية وتعزيز النمو الاقتصادي في المملكة (الإعلام البحريني),اقتصاد,البحرين
